addressID,address1,city,state,zip
724326,21323 North 64th Avenue,Glendale,AZ,85308
637665,1931 West Deane Street,Fayetteville,AR,72703
149731,24 Amherst Drive,Manchester,CT,06042
414956,103 Edgewater Road,Severna Park,MD,21146
333487,3718 Bay Tree Road,Lynn Haven,FL,32444
552063,2315 Kimberly Drive,Nashville,TN,37214
730050,8300 Highway 100,Nashville,TN,37221
993886,1304 Northern Hills Road,Norman,OK,73071
133045,4 Glen Circle,Glen Burnie,MD,21060
515060,303 Addison Drive,Glen Burnie,MD,21060
448206,2032 Gorgas Street,Montgomery,AL,36106
685930,211 Oak Street,Manchester,CT,06040
874951,112 3rd Street Northeast,Washington,DC,20002
527315,4 Old Colony Way,Yarmouth,MA,02664
676317,2829 Cambridge Court,Oklahoma City,OK,73116
135398,104 Greenwood Drive,Manchester,CT,06042
461666,2787 West Blackstone Crossing,Fayetteville,AR,72704
183514,11 Water Street,Holbrook,MA,02343
658150,125 13th Street Northeast,Washington,DC,20002
911819,2269 Eastern Boulevard,Montgomery,AL,36117
617442,38 Devon Drive,Manchester,CT,06040
465877,2713 Mitscher Road,Washington,DC,20373
711230,1820 22nd Street Southeast,Washington,DC,20020
173903,2685 California Street,Mountain View,CA,94040
800068,260 Park Avenue,Pooler,GA,31322
329185,6123 West Marlette Avenue,Glendale,AZ,85301
721475,5005 North Miller Avenue,Oklahoma City,OK,73112
860485,1010 Hillcrest Drive,Fort Collins,CO,80521
113120,10980 Splendor Loop,Anchorage,AK,99577
779971,7404 West Crest Lane,Glendale,AZ,85310
938132,949 South Lawrence Street,Montgomery,AL,36104
713577,200 Hialeah Drive,Glen Burnie,MD,21060
452324,10632 Admiral Court,Oklahoma City,OK,73162
895076,306 East Lafayette Street,Fayetteville,AR,72701
231709,535 Saddlewood Lane,Montgomery,AL,36109
286418,731 Mumford Street,Anchorage,AK,99508
176319,4 Orchard Street,Manchester,CT,06040
505730,105 Hunt Club Court,Savannah,GA,31406
614073,721 Bay Ridge Avenue,Annapolis,MD,21403
736968,5575 South Dakota Avenue Northeast,Washington,DC,20011
571482,3345 Archie Watkins Road,Farmington,AR,72730
176147,826 Webster Street,Hayward,CA,94544
977152,1911 East 58th Avenue,Anchorage,AK,99507
814278,37 East Broad Street,Savannah,GA,31401
181681,108 Chalmers Avenue,Glen Burnie,MD,21061
121848,57 Birdie Lane,Tewksbury,MA,01876
319815,5526 Thalman Drive,Brentwood,TN,37027
884604,25 Edwards Street,Manchester,CT,06042
365735,8671 West 78th Circle,Arvada,CO,80005
587546,4300 Soquel Drive,Soquel,CA,95073
568030,3620 Colmar Drive,Louisville,KY,40211
885212,3609 Meadow Drive,Nashville,TN,37215
617773,200 Edgewood Way,Louisville,KY,40243
340813,1636 Briarview Court,Severn,MD,21144
660748,6342 West Wheeler Road,Fayetteville,AR,72704
310634,91 85th Avenue,Fayetteville,AR,72704
182150,7758 Betty Louise Drive,Panama City,FL,32404
177298,1114 Barley Drive,Montgomery,AL,36111
913922,45430 Lauri Lane,Oakhurst,CA,93644
163440,5650 West 60th Avenue,Arvada,CO,80003
338522,4600 Ritchie Highway,Baltimore,MD,21225
499909,6718 Keithley Road,Panama City,FL,32404
103471,7085 Gladiola Street,Arvada,CO,80004
331553,508 Baker Street,Norman,OK,73072
914267,159 Adams Street,Manchester,CT,06040
573065,680 Quintana Road,Morro Bay,CA,93442
273359,6763 Depew Street,Arvada,CO,80003
257767,4339 Benning Road Northeast,Washington,DC,20019
551226,1353 West 27th Avenue,Anchorage,AK,99503
726062,1811 1st Street Northwest,Washington,DC,20001
479407,3777 Mowry Avenue,Fremont,CA,94538
431023,3325 Dix Street Northeast,Washington,DC,20019
649847,208 Kinnaird Lane,Louisville,KY,40243
194230,200 Pheasant Avenue,Louisville,KY,40118
494791,5815 West Del Lago Circle,Glendale,AZ,85308
181481,10 Bramblebush Drive,Barnstable,MA,02635
288674,10484 West 82nd Avenue,Arvada,CO,80005
467639,44 Downey Drive,Manchester,CT,06040
500226,25 Cliffside Drive,Manchester,CT,06042
151687,3207 Art Hall Lane,Pasadena,MD,21122
287369,534 Hamilton Street Northeast,Washington,DC,20011
899361,9920 West 81st Avenue,Arvada,CO,80005
548081,1772 150th Avenue,San Leandro,CA,94578
130207,1156 Greenhill Road,Arnold,MD,21012
153851,17794 West 77th Lane,Arvada,CO,80007
761112,1637 Acre Circle,Panama City Beach,FL,32407
328861,2064 West Columbia Way,Hanford,CA,93230
437314,68 Princeton Street,Manchester,CT,06042
687884,56 Channing Drive,Manchester,CT,06040
346887,4408 Bonaparte Boulevard,Midwest City,OK,73110
243723,39 Newhall Street,Lynn,MA,01902
595277,3164 West Woodfield Way,Fayetteville,AR,72704
279357,1433 Bretton View Road,Annapolis,MD,21409
337014,6817 Brentwood Street,Arvada,CO,80004
707315,1817 Beech Street,Louisville,KY,40210
182031,7802 Titan Court,Pasadena,MD,21122
644704,32512 Christine Drive,Union City,CA,94587
765960,14213 Doc Hawley Street,Louisville,KY,40245
385592,1914 Stratford Downs Drive,Montgomery,AL,36117
876279,83 Oakdale Road,Newton,MA,02459
192471,5408 Iris Street,Arvada,CO,80002
150030,402 Carlton Place,Goodlettsville,TN,37072
469633,222 Plymouth Street,Middleborough,MA,02346
832533,60 Willow Lakes Drive,Savannah,GA,31419
542004,1823 Dinger Road,Annapolis,MD,21402
322117,81 Lyness Street,Manchester,CT,06040
763367,491 Arabian Way,Grand Junction,CO,81504
594276,5119 Marla Drive,Panama City,FL,32404
430789,735 West Treadwell Street,Fayetteville,AR,72701
841791,7374 West Walden Drive,Littleton,CO,80128
945398,721 Vermont 5A,Westmore,VT,05860
235311,2802 US Highway 98,Mexico Beach,FL,32456
172466,7113 North 69th Avenue,Glendale,AZ,85303
171892,1650 North Sang Avenue,Fayetteville,AR,72703
922943,218 Turtle Cove,Panama City Beach,FL,32413
680404,5708 Beverly Street,Savannah,GA,31405
539951,1079 East Kentucky Street,Louisville,KY,40204
362217,7450 Wade Circle,Anchorage,AK,99518
543928,9515 West 74th Avenue,Arvada,CO,80005
496352,1920 Bladensburg Road Northeast,Washington,DC,20002
922610,8070 Holland Court,Arvada,CO,80005
387785,74 Heard Street,Chelsea,MA,02150
879217,2052 East 42nd Street,Savannah,GA,31404
601387,3125 Willow Lane Drive,Montgomery,AL,36109
945552,6740 Dickerson Drive,Anchorage,AK,99504
167192,11 Meeting Place Circle,Boxford,MA,01921
702803,529 Barr Hill Road,Greensboro,VT,05841
821456,20250 North 67th Avenue,Glendale,AZ,85308
375671,445 South Potomac Circle,Aurora,CO,80012
253765,3610 Story Road,San Jose,CA,95127
107170,618 Amberjack Drive,Panama City,FL,32408
838898,3541 North Road,Maidstone,VT,05905
218337,5124 Williston Road,Williston,VT,05495
596780,4039 Pipeline Road,Panama City,FL,32404
418434,345 Buckland Hills Drive,Manchester,CT,06042
497677,3500 South College Avenue,Fort Collins,CO,80525
135736,1711 8th Street Northwest,Washington,DC,20001
750412,337 South Drive,Severna Park,MD,21146
571863,4770 Balboa Way,Fremont,CA,94536
738855,2 Spencer Street,Lexington,MA,02420
389521,5514 West Altadena Avenue,Glendale,AZ,85304
109794,2507 R Street Southeast,Washington,DC,20020
866894,8848 North New World Drive,Glendale,AZ,85302
657876,4225 Eatons Creek Road,Nashville,TN,37218
842820,475 Maple Street,Holyoke,MA,01040
712517,1215 Joseph Avenue,Nashville,TN,37207
215130,16 Pine Hill Street,Manchester,CT,06042
371372,2 Addison Place,Bloomingdale,GA,31302
680079,7041 Coe Road,Panama City,FL,32404
103676,450 C Street,Hayward,CA,94541
692882,720 East Muhammad Ali Boulevard,Louisville,KY,40202
937936,64 Church Street,Hardwick,MA,01031
549926,4409 Star Jasmine Court,Bakersfield,CA,93304
824105,5 Westlund Avenue,Auburn,MA,01501
641340,4920 Quonset Drive,Sacramento,CA,95820
297552,514 East 38th Street,Savannah,GA,31401
287370,2347 Glen Eagle Drive,Northfield,KY,40222
151129,117 Adelaide Road,Manchester,CT,06040
397030,1222 Arcade Boulevard,Sacramento,CA,95815
677555,481 East Redbud Lane,Fayetteville,AR,72703
266161,632 Belmar Drive,Edmond,OK,73025
806835,14 School Street,Medway,MA,02053
568151,13066 North 56th Avenue,Glendale,AZ,85304
987512,9223 Elgin Circle,Anchorage,AK,99502
521797,240 54th Avenue North,Nashville,TN,37209
970900,8513 Pipit Court,Montgomery,AL,36117
324107,1021 North Center Avenue,Panama City,FL,32401
487820,1015 Castle Road,Edmond,OK,73034
265171,4303 Ashleycreek Court,Louisville,KY,40241
117301,6041 North 72nd Lane,Glendale,AZ,85303
474451,7024 Johnny Mercer Boulevard,Savannah,GA,31410
176184,1333 Farragut Street Northwest,Washington,DC,20011
539227,6435 West Hillsborough Avenue,Tampa,FL,33634
771344,13005 Mills Edge Court,Louisville,KY,40272
490403,780 South Wilmington Avenue,Fayetteville,AR,72701
906236,6601 West Ocotillo Road,Glendale,AZ,85301
425853,40 Oliver Road,Manchester,CT,06042
936934,1219 Carleton Street,Berkeley,CA,94702
350443,208 Towne Lake Way,Pooler,GA,31322
291566,6140 Fenton Street,Arvada,CO,80003
129267,123 Elizabeth Drive,Manchester,CT,06042
578049,8507 Lorento Street,Panama City Beach,FL,32408
303209,17480 Beaujolais Circle,Anchorage,AK,99577
149155,349 North Sabine Pass Road,Fayetteville,AR,72704
996171,8007 Kendrick Crossing Lane,Louisville,KY,40291
380636,57 Pierpoint Avenue,Rutland,VT,05701
551629,8 Linden Circle,Somerville,MA,02143
292924,6412 Lenawee Street,Panama City,FL,32404
528370,2894 Music Avenue,Grand Junction,CO,81506
983729,3 Carvel Circle,Edgewater,MD,21037
520770,24020 Reese Road,Anchorage,AK,99567
487674,4717 Forest Hills Drive,Noble,OK,73068
243646,6228 West Larkspur Drive,Glendale,AZ,85304
773170,82 Queen Court,Manchester,CT,06040
577098,207 High Street,Manchester,CT,06040
813040,1710 Massachusetts Avenue Southeast,Washington,DC,20003
365555,2577 Rhode Island Avenue Northeast,Washington,DC,20018
974745,210 Lacross Lane,Westmore,VT,05860
487027,4121 Northwest 31st Street,Oklahoma City,OK,73112
533612,4511 43rd Place Northwest,Washington,DC,20016
122190,3752 Roswell Place,Montgomery,AL,36116
388008,1806 Boscobel Street,Nashville,TN,37206
730382,119 Captain Chase Road,Dennis,MA,02639
596557,9306 Taylorsville Road,Louisville,KY,40299
574440,1606 Aaron Street,Montgomery,AL,36104
640506,12816 West 65th Way,Arvada,CO,80004
827945,7401 West Arrowhead Clubhouse Drive,Glendale,AZ,85308
341722,61 Cubles Drive,Brimfield,MA,01010
471519,3141 North Lancaster Lane,Fayetteville,AR,72703
784069,1326 U.S. 80,Garden City,GA,31408
509344,3384 North Southridge Drive,Fayetteville,AR,72703
630783,826 South Hancock Street,Louisville,KY,40203
362378,2909 Minnesota Avenue,Lynn Haven,FL,32444
693054,512 Danley Court,Nashville,TN,37013
989994,5706 Worchester Drive,Montgomery,AL,36116
751059,37675 Fremont Boulevard,Fremont,CA,94536
579885,3079 North Bentley Ridge,Fayetteville,AR,72704
818931,881 Main Street,Manchester,CT,06040
894401,3505 Albee Drive,Nashville,TN,37076
120446,89 Barrensdale Drive,Severna Park,MD,21146
209297,3101 Penland Parkway,Anchorage,AK,99508
593716,6420 Via Baron,Rancho Palos Verdes,CA,90275
168020,8188 Poinsett Terrace,Pasadena,MD,21122
538642,3140 Commander Drive,Louisville,KY,40220
366614,6215 Sheridan Boulevard,Arvada,CO,80003
818022,5224 Wasena Avenue,Baltimore,MD,21225
263645,226 Tranquility Lane,Saint Albans Town,VT,05488
923627,14347 Corvallis Street,San Leandro,CA,94579
497940,109 Cambridge Station Road,Louisville,KY,40223
210870,711 Parker Street,East Longmeadow,MA,01028
355998,416 Waverly Avenue,Baltimore,MD,21225
534024,4050 Bryce Road,Nashville,TN,37211
360975,3823 Shannon Run Trail,Louisville,KY,40299
530136,4130 Legation Street Northwest,Washington,DC,20015
762233,8935 Cole Drive,Arvada,CO,80004
332991,915 Arkansas Avenue,Lynn Haven,FL,32444
119343,265 Slater Street,Manchester,CT,06042
629146,243 McKee Street,Manchester,CT,06040
852961,7645 Marshall Street,Arvada,CO,80003
606147,1238 Roanwood Way,Concord,CA,94521
558311,2729 East 14th Street,Panama City,FL,32401
950793,313 Post Road,Rutland,VT,05701
538610,6275 Eric Lane,Montgomery,AL,36116
771159,124 Rod Key Street,Lyndon,VT,05851
517371,2185 Howe Pond Road,Readsboro,VT,05350
774899,8 Chandler Street,Plymouth,MA,02360
786638,646 Clinton Street,Montgomery,AL,36108
829214,5073 West 65th Place,Arvada,CO,80003
118118,12245 West 71st Place,Arvada,CO,80004
309013,1002 Highland Avenue,Louisville,KY,40204
574753,2849 Leawood Drive,Anchorage,AK,99502
740413,1 Tanaquay Court,Savannah,GA,31411
364152,34 Free Street,Hingham,MA,02043
547323,7910 West Krall Street,Glendale,AZ,85303
408034,2362 Acushnet Avenue,New Bedford,MA,02745
160238,217 West Congress Street,Savannah,GA,31401
501404,410 West 89th Avenue,Anchorage,AK,99515
773583,439 Crestmont Drive,Oakland,CA,94619
412998,6029 Wright Street,Arvada,CO,80004
991047,534 North 31st Street,Louisville,KY,40212
258046,3905 Lyceum Avenue,Los Angeles,CA,90066
725985,318 Lydall Street,Manchester,CT,06042
260764,4510 Eastern Avenue Northeast,Washington,DC,20018
236623,3014 R Street Northwest,Washington,DC,20007
440879,93 Marble Hill Road,Waitsfield,VT,05673
361514,407 Morse Street Northeast,Washington,DC,20002
203592,19 Euston Street,Brookline,MA,02446
816716,10383 Eagle River Lane,Anchorage,AK,99577
436486,1822 North Grand Avenue,Pueblo,CO,81003
487194,210 Seaman,McCrory,AR,72101
595766,7025 Queen Street,Arvada,CO,80004
587530,334 North Cove Boulevard,Panama City,FL,32401
884334,2803 River Drive,Thunderbolt,GA,31404
274499,702 East 53rd Street,Savannah,GA,31405
370916,104 White Street,Manchester,CT,06042
359121,102 Old Depot Road,Farmington,AR,72730
593310,3311 Wiley Post Loop,Anchorage,AK,99517
986303,134 Butternut Road,Manchester,CT,06040
137514,1 Logan Circle Northwest,Washington,DC,20005
114242,5161 Jefferson Boulevard,Louisville,KY,40219
543399,9209 Eupora Court,Jeffersontown,KY,40299
564783,11140 West 60th Avenue,Arvada,CO,80004
627459,11300 Lillian Lane,Anchorage,AK,99515
205806,11507 East Neville Avenue,Mesa,AZ,85209
477773,404 Ramble Wood Circle,Nashville,TN,37221
427632,85 Hokum Rock Road,Dennis,MA,02638
415494,6293 Braun Circle,Arvada,CO,80004
222085,1612 Whitemarsh Way,Savannah,GA,31410
818176,24 Norman Street,Salem,MA,01970
940980,75 Calfoster Drive,Wolcott,VT,05680
229881,517 West 33rd Street,Savannah,GA,31415
507487,2042 High Street,Oakland,CA,94601
479716,2355 Pearl Point,Fayetteville,AR,72701
683144,913 Fallview Trail,Nashville,TN,37211
715187,100 East Joyce Boulevard,Fayetteville,AR,72703
455245,16303 Mateo Street,San Leandro,CA,94578
661891,612 E Street,Marysville,CA,95901
848492,4840 Reservoir Road Northwest,Washington,DC,20007
338405,4981 Shirley Way,Livermore,CA,94550
793759,24647 Patricia Court,Hayward,CA,94541
711729,3337 Woodpark Court,Montgomery,AL,36116
385555,107 West Canton Circle,Springfield,MA,01104
603812,803 Kay Lane,Lynn Haven,FL,32444
737527,8142 Mallard Shore Drive,Laurel,MD,20724
387400,2133 Boultier Street,Montgomery,AL,36106
648470,11150 Sun Valley Drive,Oakland,CA,94605
424417,1918 Spruce Street,Boulder,CO,80302
554501,1612 Beech Street,Louisville,KY,40211
807968,51 Bearing Circle,Port Wentworth,GA,31407
693733,1606 Trevilian Way,Louisville,KY,40205
367732,6521 North 65th Avenue,Glendale,AZ,85301
319369,5434 West Beck Lane,Glendale,AZ,85306
513907,1835 Pointer Lane,Fayetteville,AR,72701
208327,7911 Deronia Avenue,Louisville,KY,40222
923805,306 Rural Hill Court,Nashville,TN,37217
375599,5514 West Wedington Drive,Fayetteville,AR,72704
596046,901 North Lincoln Boulevard,Oklahoma City,OK,73104
573163,30 Curtis Road,Milton,MA,02186
952852,1149 Darwin Street,Savannah,GA,31415
212925,12330 Old Glenn Highway,Anchorage,AK,99577
922729,531 Bobbin Mill Road,Lunenburg,VT,05906
227479,4632 Vermont 15,Wolcott,VT,05680
768616,9805 Meadow Vale Drive,Louisville,KY,40242
818020,5688 Johnson Court,Arvada,CO,80002
686018,468 Raymond Drive,Ione,CA,95640
781693,24147 Clinton Court,Hayward,CA,94545
529342,91 Eldridge Street,Manchester,CT,06040
369291,1311 Northwest 98th Street,Oklahoma City,OK,73114
441859,16031 West 63rd Lane,Arvada,CO,80403
779395,32532 Jean Drive,Union City,CA,94587
125712,24 Haven Drive,Savannah,GA,31406
448099,84 Holbrook Street,North Adams,MA,01247
407247,7737 Wynlakes Boulevard,Montgomery,AL,36117
528289,525 Middle Turnpike West,Manchester,CT,06040
208453,4602 West Luke Avenue,Glendale,AZ,85301
303818,6902 West Sherri Jean Lane,Peoria,AZ,85382
696852,8421 Thomas Drive,Panama City,FL,32408
930223,32 Royal Drive,Louisville,KY,40214
191396,890 East Skyline Drive,Fayetteville,AR,72701
682830,103 Chevis Road,Savannah,GA,31419
624706,5337 West Wheeler Road,Fayetteville,AR,72704
153813,8501 Twin Gable Drive,Montgomery,AL,36116
109968,712 Wilsonwood Place,Nashville,TN,37206
515825,1259 Everett Avenue,Louisville,KY,40204
258497,101 Mustang Drive,San Luis Obispo,CA,93405
473366,7502 Kingman Street,Panama City Beach,FL,32408
361489,4188 Summerview Drive,Louisville,KY,40272
409286,6160 Norm Drive,Anchorage,AK,99507
194766,5805 Armada Drive,Carlsbad,CA,92008
