patientID,ssn,dob
372712,848636965,1993-02-11
112789,639833976,2019-04-05
658509,907301551,1935-10-08
524854,481405180,1967-07-09
619917,988441586,1950-08-03
936701,152427859,1986-10-11
625999,397804587,1957-02-08
583489,720116356,1968-06-20
971763,729715405,1932-09-27
885655,898381872,1961-08-02
973972,134510978,2011-02-26
643070,314892077,1956-05-15
590933,589102305,1965-10-20
124501,546766518,1954-09-20
948870,954439876,2021-02-24
637626,579264422,1952-11-04
960346,744064301,2015-03-22
126768,854457215,1948-05-05
713489,660861366,1969-05-23
240243,887398671,1977-05-11
543866,412487887,1953-06-04
486692,870095802,1954-03-31
525185,101852193,1953-11-14
664420,615343470,1958-08-29
548073,371867324,1971-03-07
815235,811014722,1955-05-19
194298,482138701,1940-10-27
464124,570361053,2020-11-22
126722,559398352,2018-03-13
708628,905136197,1971-11-30
961653,714842355,1969-09-13
513339,719892878,1945-11-21
638242,824761022,1973-09-20
418942,879500121,2019-02-27
255698,725688834,1940-07-26
613837,296728015,1948-05-27
194894,387799944,1954-08-18
646544,925987837,2015-06-18
613962,859321003,1954-07-12
287248,718294482,1958-04-11
402924,906025439,1964-05-25
444036,488632262,1942-03-15
899269,337184245,1956-03-04
844253,509445660,1982-04-08
874083,704993721,1953-09-09
791321,943633366,1962-08-15
550307,727463911,1959-05-01
430813,891848163,1956-01-28
204872,875217455,1976-11-05
989283,760654079,2018-02-17
197122,220238258,1962-09-18
175312,670830299,1968-06-09
294380,139971890,1953-04-09
616876,505678575,1967-03-16
538754,985658332,1948-09-21
709291,168853934,1952-11-17
510946,428352053,1953-05-22
673213,413794064,2005-06-22
164703,114063086,2020-11-19
126884,734271185,1980-01-31
276824,435350535,1949-12-23
839527,883062407,2021-04-03
621215,963485091,2022-08-13
540162,769180442,1972-08-28
562362,286027741,1969-03-02
574748,468345221,1957-05-21
395381,684469105,2012-12-10
799493,615988478,1963-06-25
821995,429863986,2013-03-31
164705,702264354,1978-01-02
624393,146160942,1954-02-14
254346,624413894,1970-02-28
977900,747045685,1962-07-11
643936,534716842,1966-02-13
577230,788357612,1973-07-29
211818,702846147,1992-01-28
316670,683823332,1959-04-30
943890,199004464,1938-12-01
697022,840289476,1958-06-11
680304,349824269,1959-04-12
578239,920397963,1953-01-03
367422,445816529,1970-11-14
865294,164018510,1977-11-05
576958,338473188,1971-08-31
861725,128598028,1970-02-21
106195,232393894,1965-04-11
541245,890145821,2016-09-10
616779,574039909,2013-11-04
757848,194331516,1960-01-25
421967,846903437,2011-08-19
439074,705374168,1965-07-27
702593,477249311,1930-05-02
889980,412710684,2012-12-15
203308,316770093,1966-05-16
548450,924658316,1972-05-31
157041,760153215,1953-10-21
575445,670374959,1979-04-26
829829,425534243,1934-11-11
221007,368874243,2006-02-15
159183,330910368,1964-08-14
188767,494418268,2012-11-11
957559,446143337,1969-05-28
955654,863814163,1956-02-23
355381,424421374,1963-10-21
382843,480137063,1982-01-29
220717,965668541,1984-08-27
749864,252958027,1971-05-18
902343,183235184,1950-04-28
143722,199116454,1958-04-09
119339,712739393,1963-10-01
205202,677013591,1968-06-17
917738,146113272,1969-11-07
137043,573034414,1960-02-22
370687,277003365,1974-12-17
392356,600793946,1978-02-11
159874,293430579,1955-08-21
424514,305491124,1974-10-19
109719,419558370,1954-03-28
190825,764255354,1963-02-01
209633,710003138,1950-06-06
225949,958121414,2007-11-01
973335,672306846,1955-02-27
327180,964361049,1981-12-11
320725,344078396,1964-10-18
459976,171137806,1961-04-01
870853,318184453,1970-09-29
207565,711923811,1963-06-09
762957,944972499,1963-01-18
142698,985339176,1965-02-15
134702,222105717,1959-04-12
957534,633773580,1969-11-24
426600,136504121,1972-06-12
522875,317359397,1927-01-07
997065,365587879,1964-11-08
365961,239570284,1973-08-01
952986,335203224,1971-01-18
945949,545326725,1976-06-15
653042,118387514,2017-11-28
960643,433971142,1962-01-07
580140,327017869,2003-12-13
917895,184426620,1975-09-25
766585,650465908,1955-04-27
542831,232572168,1955-06-26
701514,818351574,2021-08-26
972235,979657868,1978-03-23
659458,248079009,1984-12-27
780800,561633614,1960-02-28
126851,717265241,1955-06-18
750676,115884915,2007-03-29
498548,618815319,2012-09-17
899383,681709659,1959-06-12
230827,830816477,2019-11-19
641282,697635525,1987-06-08
